iter	RMSE
0	6870.212014
1	6441.717194
2	6101.432299
3	5811.078341
4	5497.419836
5	5210.467136
6	4994.625347
7	4819.962978
8	4626.396144
9	4395.702033
10	4191.328941
11	4010.878729
12	3826.886466
13	3645.715901
14	3493.717617
15	3341.794044
16	3229.226292
17	3116.444314
18	3027.056588
19	2955.927023
20	2865.979414
21	2787.889491
22	2688.230207
23	2600.301058
24	2522.736871
25	2466.600845
26	2389.357241
27	2332.227976
28	2269.391516
29	2225.420173
30	2174.669164
31	2117.687642
32	2064.036954
33	2037.667127
34	1998.569423
35	1972.553284
36	1948.861927
37	1910.87482
38	1884.31131
39	1861.376887
40	1834.127916
41	1820.178933
42	1793.100776
43	1757.25745
44	1740.871739
45	1725.985267
46	1704.999542
47	1685.081244
48	1674.262636
49	1650.996018
50	1640.746298
51	1623.945314
52	1604.989304
53	1584.018419
54	1567.704075
55	1551.132655
56	1536.575649
57	1523.416242
58	1511.820435
59	1497.02298
60	1477.84241
61	1459.203437
62	1450.631078
63	1435.81013
64	1424.369808
65	1408.227889
66	1398.492791
67	1384.654917
68	1373.301973
69	1360.624092
70	1351.909671
71	1340.018063
72	1332.050864
73	1318.145304
74	1302.922189
75	1288.020707
76	1279.315868
77	1271.585807
78	1262.198447
79	1252.224532
80	1244.360327
81	1233.455496
82	1224.018551
83	1216.328082
84	1208.485872
85	1200.687297
86	1191.525371
87	1179.094007
88	1172.704847
89	1161.262797
90	1150.115666
91	1144.561076
92	1135.781465
93	1131.421107
94	1125.481044
95	1115.731098
96	1107.289712
97	1101.168689
98	1093.118137
99	1087.300369
