iter	Passed	Remaining
0	7	7639
1	14	7175
2	21	7098
3	28	7220
4	36	7263
5	43	7222
6	50	7127
7	57	7117
8	64	7094
9	71	7063
10	78	7093
11	85	7053
12	92	7011
13	99	6972
14	101	6676
15	108	6664
16	114	6627
17	122	6656
18	129	6687
19	138	6779
20	145	6804
21	153	6823
22	160	6803
23	167	6800
24	174	6789
25	180	6767
26	187	6748
27	193	6724
28	200	6710
29	208	6731
30	215	6732
31	222	6736
32	230	6756
33	237	6759
34	244	6752
35	251	6725
36	257	6711
37	265	6711
38	272	6705
39	279	6713
40	287	6719
41	294	6714
42	301	6703
43	308	6694
44	315	6691
45	321	6674
46	329	6683
47	336	6679
48	343	6668
49	349	6649
50	356	6640
51	364	6642
52	371	6639
53	378	6627
54	385	6622
55	392	6614
56	398	6599
57	406	6594
58	413	6588
59	421	6597
60	429	6616
61	437	6618
62	444	6608
63	451	6602
64	458	6597
65	465	6584
66	472	6581
67	480	6581
68	486	6570
69	494	6570
70	501	6557
71	507	6547
72	514	6539
73	522	6535
74	529	6525
75	536	6524
76	543	6517
77	550	6507
78	558	6515
79	567	6530
80	574	6521
81	581	6513
82	588	6501
83	594	6484
84	602	6483
85	608	6469
86	615	6457
87	622	6450
88	629	6440
89	636	6436
90	643	6430
91	650	6422
92	658	6418
93	665	6410
94	671	6397
95	678	6392
96	685	6381
97	692	6371
98	699	6366
99	706	6361
100	715	6370
101	723	6368
102	730	6362
103	738	6358
104	746	6360
105	753	6354
106	760	6346
107	767	6337
108	774	6328
109	780	6316
110	787	6306
111	794	6298
112	801	6293
113	808	6285
114	815	6278
115	822	6270
116	829	6263
117	837	6257
118	844	6248
119	851	6242
120	858	6236
121	868	6253
122	877	6257
123	884	6250
124	891	6241
125	898	6231
126	905	6227
127	912	6215
128	919	6208
129	926	6199
130	932	6188
131	939	6179
132	946	6169
133	952	6158
134	959	6150
135	967	6144
136	974	6138
137	981	6129
138	988	6119
139	994	6110
140	1002	6105
141	1009	6096
142	1016	6089
143	1024	6089
144	1033	6093
145	1041	6091
146	1049	6089
147	1056	6084
148	1063	6076
149	1071	6071
150	1078	6066
151	1085	6056
152	1093	6052
153	1100	6045
154	1107	6036
155	1115	6036
156	1123	6030
157	1130	6022
158	1137	6015
159	1143	6005
160	1150	5997
161	1157	5989
162	1165	5983
163	1172	5976
164	1179	5969
165	1187	5967
166	1195	5961
167	1202	5955
168	1209	5949
169	1217	5942
170	1224	5934
171	1231	5928
172	1238	5919
173	1246	5916
174	1253	5909
175	1260	5900
176	1268	5897
177	1275	5889
178	1283	5886
179	1290	5880
180	1297	5871
181	1304	5862
182	1311	5854
183	1318	5847
184	1324	5836
185	1332	5830
186	1339	5825
187	1347	5819
188	1354	5811
189	1360	5800
190	1367	5792
191	1374	5786
192	1382	5778
193	1389	5772
194	1396	5766
195	1403	5757
196	1410	5750
197	1417	5742
198	1424	5734
199	1431	5727
200	1438	5718
201	1445	5711
202	1452	5704
203	1459	5696
204	1466	5686
205	1473	5680
206	1482	5680
207	1489	5672
208	1497	5666
209	1504	5661
210	1511	5652
211	1518	5645
212	1526	5638
213	1534	5634
214	1541	5628
215	1548	5619
216	1554	5609
217	1561	5602
218	1568	5594
219	1575	5584
220	1581	5575
221	1588	5566
222	1595	5560
223	1603	5554
224	1610	5545
225	1618	5541
226	1626	5540
227	1633	5531
228	1640	5522
229	1646	5513
230	1653	5503
231	1660	5496
232	1667	5487
233	1673	5479
234	1680	5471
235	1687	5463
236	1694	5455
237	1701	5449
238	1709	5442
239	1716	5436
240	1723	5427
241	1729	5417
242	1736	5410
243	1743	5402
244	1750	5394
245	1756	5385
246	1763	5376
247	1771	5371
248	1780	5369
249	1787	5362
250	1795	5356
251	1802	5349
252	1809	5343
253	1817	5336
254	1823	5328
255	1831	5321
256	1838	5313
257	1844	5305
258	1851	5297
259	1858	5290
260	1865	5282
261	1872	5274
262	1879	5268
263	1887	5261
264	1893	5252
265	1902	5250
266	1909	5243
267	1918	5239
268	1926	5236
269	1934	5230
270	1941	5222
271	1948	5214
272	1955	5208
273	1963	5201
274	1970	5195
275	1978	5188
276	1985	5181
277	1991	5171
278	1998	5163
279	2004	5155
280	2012	5148
281	2019	5141
282	2026	5134
283	2033	5126
284	2040	5119
285	2047	5112
286	2055	5106
287	2063	5102
288	2072	5098
289	2079	5090
290	2086	5083
291	2093	5076
292	2100	5069
293	2107	5061
294	2114	5053
295	2120	5044
296	2127	5036
297	2134	5028
298	2141	5020
299	2148	5013
300	2154	5004
301	2161	4996
302	2168	4988
303	2175	4980
304	2182	4973
305	2189	4965
306	2196	4958
307	2204	4952
308	2212	4946
309	2219	4941
310	2227	4934
311	2233	4926
312	2241	4920
313	2249	4913
314	2255	4905
315	2262	4898
316	2270	4891
317	2276	4883
318	2284	4876
319	2291	4868
320	2297	4859
321	2304	4853
322	2312	4847
323	2320	4840
324	2326	4832
325	2334	4825
326	2341	4819
327	2349	4813
328	2357	4808
329	2364	4801
330	2372	4794
331	2378	4786
332	2386	4779
333	2392	4770
334	2399	4763
335	2406	4755
336	2413	4747
337	2420	4740
338	2427	4733
339	2434	4726
340	2442	4719
341	2448	4711
342	2455	4703
343	2462	4696
344	2469	4687
345	2476	4680
346	2483	4673
347	2491	4667
348	2499	4662
349	2506	4655
350	2513	4646
351	2521	4640
352	2528	4633
353	2535	4626
354	2542	4619
355	2549	4612
356	2556	4604
357	2563	4596
358	2570	4590
359	2578	4583
360	2585	4577
361	2594	4573
362	2602	4567
363	2610	4560
364	2618	4555
365	2626	4549
366	2634	4544
367	2643	4539
368	2650	4532
369	2658	4525
370	2665	4518
371	2672	4512
372	2680	4505
373	2687	4498
374	2694	4490
375	2701	4483
376	2709	4476
377	2716	4470
378	2724	4463
379	2731	4457
380	2739	4451
381	2747	4445
382	2755	4438
383	2762	4430
384	2769	4424
385	2778	4419
386	2785	4411
387	2792	4404
388	2798	4396
389	2805	4387
390	2812	4381
391	2819	4373
392	2827	4366
393	2834	4359
394	2840	4351
395	2848	4344
396	2854	4336
397	2861	4327
398	2868	4320
399	2875	4313
400	2882	4305
401	2889	4297
402	2895	4289
403	2902	4281
404	2909	4273
405	2915	4265
406	2923	4259
407	2932	4254
408	2939	4247
409	2946	4240
410	2953	4232
411	2961	4226
412	2968	4218
413	2975	4212
414	2982	4204
415	2989	4196
416	2996	4189
417	3002	4180
418	3009	4173
419	3017	4166
420	3025	4160
421	3033	4154
422	3040	4147
423	3048	4141
424	3056	4135
425	3066	4131
426	3078	4130
427	3086	4125
428	3094	4118
429	3101	4111
430	3110	4106
431	3118	4100
432	3127	4094
433	3134	4087
434	3142	4081
435	3150	4075
436	3158	4068
437	3165	4062
438	3173	4055
439	3182	4049
440	3190	4043
441	3198	4037
442	3206	4031
443	3213	4024
444	3222	4018
445	3230	4012
446	3238	4006
447	3246	3999
448	3253	3992
449	3261	3986
450	3269	3979
451	3276	3972
452	3284	3966
453	3292	3959
454	3300	3952
455	3307	3945
456	3314	3938
457	3321	3930
458	3327	3922
459	3334	3914
460	3341	3906
461	3348	3898
462	3357	3893
463	3371	3895
464	3380	3889
465	3388	3882
466	3396	3876
467	3405	3870
468	3412	3863
469	3419	3856
470	3427	3849
471	3434	3841
472	3441	3834
473	3449	3827
474	3456	3820
475	3463	3812
476	3470	3805
477	3477	3798
478	3484	3790
479	3491	3782
480	3498	3774
481	3505	3767
482	3514	3762
483	3524	3757
484	3531	3750
485	3539	3743
486	3546	3736
487	3554	3729
488	3561	3721
489	3568	3714
490	3576	3707
491	3583	3699
492	3590	3692
493	3598	3685
494	3605	3678
495	3612	3670
496	3620	3664
497	3627	3656
498	3634	3648
499	3641	3641
500	3648	3634
501	3658	3629
502	3666	3623
503	3674	3616
504	3681	3609
505	3688	3601
506	3695	3593
507	3702	3586
508	3709	3578
509	3717	3571
510	3724	3564
511	3731	3556
512	3739	3549
513	3747	3542
514	3754	3535
515	3761	3528
516	3769	3521
517	3776	3514
518	3783	3506
519	3792	3500
520	3800	3494
521	3807	3486
522	3814	3479
523	3821	3471
524	3828	3464
525	3836	3456
526	3844	3450
527	3851	3443
528	3859	3436
529	3866	3428
530	3874	3422
531	3881	3414
532	3889	3407
533	3896	3400
534	3903	3392
535	3910	3385
536	3917	3377
537	3924	3370
538	3932	3362
539	3939	3355
540	3948	3349
541	3956	3343
542	3964	3336
543	3970	3328
544	3979	3321
545	3986	3315
546	3994	3307
547	4001	3300
548	4010	3294
549	4017	3287
550	4025	3279
551	4033	3273
552	4041	3266
553	4048	3259
554	4055	3251
555	4063	3244
556	4069	3236
557	4076	3228
558	4083	3221
559	4092	3215
560	4101	3209
561	4107	3201
562	4114	3193
563	4121	3186
564	4129	3179
565	4136	3171
566	4143	3164
567	4151	3157
568	4159	3150
569	4165	3142
570	4172	3135
571	4180	3127
572	4188	3121
573	4196	3114
574	4203	3106
575	4210	3099
