iter	Logloss
0	0.6881342384
1	0.6831789732
2	0.6786161228
3	0.6739526132
4	0.6697295258
5	0.6650416129
6	0.6609061767
7	0.6567161577
8	0.6527572025
9	0.6481571287
10	0.6440891719
11	0.6401195295
12	0.6362523872
13	0.6326276599
14	0.6286205474
15	0.6244278341
16	0.6205289553
17	0.6166186155
18	0.6132623054
19	0.609848215
20	0.6062181032
21	0.6025513281
22	0.5989924537
23	0.5960488445
24	0.5924443631
25	0.5892403694
26	0.5859707664
27	0.5831041614
28	0.5798559423
29	0.5764593636
30	0.5733639356
31	0.5706680038
32	0.5673288334
33	0.5645517188
34	0.5621171473
35	0.5593120249
36	0.5564732211
37	0.5535853293
38	0.5508043001
39	0.5480849553
40	0.5455949363
41	0.5430046979
42	0.5401923981
43	0.5380908906
44	0.5355323108
45	0.5334244096
46	0.5309915474
47	0.5288748805
48	0.5269060755
49	0.5247102323
