iter	Passed	Remaining
0	1	188
1	4	223
2	6	215
3	8	207
4	10	202
5	13	216
6	16	219
7	18	214
8	20	208
9	23	209
10	25	207
11	27	205
12	29	198
13	31	194
14	33	191
15	35	185
16	37	182
17	39	178
18	40	173
19	42	171
20	44	167
21	45	162
22	47	160
23	49	156
24	51	154
25	53	150
26	54	147
27	56	145
28	58	143
29	60	140
30	61	137
31	63	134
32	65	132
33	66	129
34	68	127
35	69	124
36	72	123
37	74	120
38	75	118
39	76	115
40	78	112
41	79	110
42	81	107
43	82	105
44	83	102
45	85	100
46	86	97
47	88	96
48	89	93
49	91	91
50	93	89
51	94	87
52	96	85
53	98	83
54	99	81
55	101	79
56	103	77
57	104	75
58	106	73
59	108	72
60	109	70
61	111	68
62	112	66
63	114	64
64	116	62
65	118	60
66	120	59
67	121	57
68	123	55
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	132	44
75	134	42
76	136	40
77	137	38
78	138	36
79	139	34
80	141	33
81	142	31
82	144	29
83	146	27
84	148	26
85	150	24
86	152	22
87	154	21
88	156	19
89	158	17
90	160	15
91	162	14
92	164	12
93	166	10
94	168	8
95	170	7
96	172	5
97	173	3
98	175	1
99	177	0
