iter	Passed	Remaining
0	10	10573
1	19	9552
2	27	9205
3	36	8994
4	50	10112
5	60	10091
6	69	9879
7	78	9778
8	87	9615
9	95	9455
10	104	9370
11	111	9218
12	119	9081
13	127	8984
14	135	8898
15	144	8865
16	151	8763
17	159	8685
18	167	8644
19	175	8590
20	183	8558
21	193	8617
22	203	8661
23	215	8775
24	227	8860
25	235	8819
26	243	8784
27	251	8727
28	259	8685
29	268	8672
30	277	8681
31	286	8663
32	293	8612
33	301	8567
34	310	8564
35	318	8529
36	327	8512
37	336	8516
38	344	8490
39	353	8494
40	363	8501
41	374	8538
42	382	8511
43	391	8514
44	400	8495
45	409	8493
46	418	8478
47	427	8487
48	436	8473
49	445	8470
50	454	8457
51	462	8440
52	471	8427
53	479	8404
54	488	8397
55	496	8368
56	506	8377
57	514	8355
58	522	8340
59	530	8318
60	540	8312
61	549	8308
62	559	8326
63	570	8342
64	578	8323
65	587	8312
66	596	8301
67	604	8287
68	612	8265
69	621	8252
70	629	8235
71	637	8222
72	646	8213
73	655	8203
74	664	8195
75	673	8189
76	682	8177
77	690	8160
78	698	8143
79	706	8126
80	715	8121
81	727	8141
82	736	8138
83	745	8126
84	753	8112
85	761	8096
86	770	8083
87	778	8068
88	787	8063
89	796	8051
90	805	8049
91	814	8040
92	822	8022
93	831	8011
94	840	8003
95	849	7995
96	859	8003
97	870	8014
98	879	8007
99	887	7991
100	897	7985
101	905	7969
102	913	7959
103	922	7951
104	932	7944
105	940	7930
106	949	7922
107	957	7908
108	966	7901
109	974	7886
110	983	7878
111	992	7867
112	1001	7864
113	1014	7882
114	1022	7866
115	1030	7853
116	1038	7836
117	1046	7825
118	1056	7822
119	1066	7818
120	1074	7804
121	1082	7790
122	1090	7775
123	1099	7764
124	1106	7748
125	1115	7740
126	1124	7729
127	1133	7723
128	1141	7707
129	1149	7692
130	1159	7694
131	1170	7698
132	1178	7684
133	1186	7669
134	1196	7665
135	1204	7652
136	1213	7644
137	1221	7630
138	1230	7618
139	1238	7605
140	1246	7594
141	1255	7585
142	1263	7574
143	1272	7563
144	1280	7552
145	1289	7540
146	1297	7531
147	1306	7519
148	1317	7525
149	1327	7522
150	1335	7506
151	1343	7497
152	1352	7484
153	1361	7478
154	1369	7464
155	1377	7451
156	1385	7439
157	1393	7427
158	1401	7412
159	1409	7400
160	1417	7384
161	1425	7375
162	1434	7368
163	1444	7360
164	1453	7353
165	1462	7346
166	1470	7336
167	1479	7325
168	1498	7370
169	1512	7384
170	1529	7416
171	1538	7406
172	1546	7391
173	1554	7377
174	1562	7364
175	1571	7357
176	1580	7350
177	1589	7339
178	1598	7329
179	1606	7317
180	1614	7305
181	1623	7296
182	1631	7284
183	1640	7275
184	1649	7264
185	1658	7256
186	1666	7246
187	1676	7240
188	1688	7244
189	1696	7233
190	1704	7219
191	1712	7207
192	1721	7196
193	1729	7186
194	1738	7175
195	1746	7163
196	1754	7151
197	1762	7139
198	1771	7129
199	1780	7121
200	1789	7111
201	1796	7098
202	1805	7087
203	1814	7080
204	1823	7070
205	1832	7063
206	1844	7067
207	1853	7058
208	1862	7048
209	1870	7035
210	1878	7024
211	1888	7018
212	1896	7009
213	1905	6996
214	1914	6988
215	1922	6976
216	1931	6967
217	1939	6957
218	1948	6948
219	1956	6935
220	1964	6925
221	1973	6915
222	1982	6907
223	1992	6902
224	2003	6900
225	2012	6891
226	2020	6879
227	2029	6870
228	2037	6858
229	2046	6851
230	2055	6843
231	2065	6837
232	2074	6828
233	2082	6818
234	2090	6804
235	2098	6793
236	2106	6782
237	2115	6773
238	2124	6766
239	2133	6756
240	2142	6748
241	2154	6748
242	2163	6740
243	2172	6730
244	2181	6721
245	2189	6711
246	2199	6703
247	2207	6695
248	2216	6686
249	2225	6676
250	2234	6667
251	2243	6658
252	2251	6647
253	2260	6639
254	2269	6629
255	2278	6622
256	2288	6616
257	2298	6609
258	2310	6609
259	2318	6598
260	2327	6589
261	2335	6577
262	2344	6568
263	2352	6558
264	2361	6548
265	2369	6539
266	2378	6530
267	2386	6519
268	2395	6509
269	2403	6497
270	2412	6489
271	2421	6480
272	2430	6472
273	2438	6460
274	2448	6454
275	2459	6452
276	2468	6443
277	2477	6433
278	2484	6421
279	2493	6411
280	2502	6402
281	2510	6392
282	2518	6381
283	2526	6370
284	2534	6358
285	2543	6350
286	2552	6341
287	2561	6333
288	2569	6322
289	2578	6313
290	2587	6303
291	2595	6292
292	2604	6283
293	2613	6276
294	2625	6275
295	2634	6265
296	2643	6257
297	2652	6249
298	2661	6239
299	2670	6232
300	2679	6223
301	2689	6216
302	2698	6206
303	2707	6199
304	2717	6191
305	2725	6180
306	2733	6170
307	2741	6160
308	2750	6151
309	2760	6143
310	2774	6147
311	2785	6143
312	2795	6134
313	2804	6126
314	2812	6116
315	2821	6107
316	2831	6101
317	2857	6128
318	2867	6121
319	2876	6112
320	2885	6103
321	2896	6099
322	2907	6093
323	2917	6086
324	2926	6078
325	2938	6074
326	2945	6063
327	2955	6054
328	2964	6045
329	2972	6034
330	2979	6022
331	2987	6011
332	2997	6004
333	3005	5993
334	3014	5984
335	3023	5974
336	3032	5965
337	3041	5956
338	3049	5946
339	3058	5936
340	3066	5926
341	3074	5915
342	3085	5909
343	3096	5904
