iter	Logloss
0	0.6822833395
1	0.671688552
2	0.6615624364
3	0.6521594375
4	0.6426231869
5	0.6339820034
6	0.6270838491
7	0.6192142779
8	0.6115810824
9	0.6053789841
10	0.59877189
11	0.5933115684
12	0.5878865706
13	0.5823773693
14	0.5772584244
15	0.5727569243
16	0.5681066452
17	0.5638782949
18	0.559846981
19	0.5560746278
20	0.5533984961
21	0.5499465152
22	0.5468034933
23	0.5435311904
24	0.5403929125
25	0.5379700988
26	0.5350268272
27	0.5316530167
28	0.5289555351
29	0.5262751525
30	0.5236143407
31	0.5209733062
32	0.5192646106
33	0.5174221038
34	0.5149335462
35	0.5135209945
36	0.5119970952
37	0.5103180438
38	0.5084726126
39	0.5068546315
40	0.5055153377
41	0.5043624253
42	0.5030734082
43	0.5014062742
44	0.500277265
45	0.4995526178
46	0.4983492305
47	0.4975721084
48	0.4962542609
49	0.4946179744
50	0.4934728536
51	0.4924843041
52	0.49126256
53	0.4904356887
54	0.4894329395
55	0.4885229516
56	0.4877822959
57	0.4871188533
58	0.4864148809
59	0.4856646571
60	0.4846279702
61	0.4837950871
62	0.4832372405
63	0.4826462427
64	0.4818777203
65	0.4811674249
66	0.4805345644
67	0.4793688093
68	0.4785414274
69	0.4779040656
70	0.4774777591
71	0.4770574536
72	0.4765411558
73	0.4756527359
74	0.4752180783
75	0.4748324355
76	0.4742764048
77	0.4736019953
78	0.4730883889
79	0.4727940975
80	0.4725677931
81	0.4720942803
82	0.471703247
83	0.4711068378
84	0.4709669011
85	0.4704688751
86	0.4701695541
87	0.4697132154
88	0.4692119596
89	0.4689710373
90	0.4687239453
91	0.4682204046
92	0.4678686006
93	0.4675039311
94	0.4672369505
95	0.4667901859
96	0.466324275
97	0.4660473629
98	0.4656673567
99	0.4655530411
100	0.4651371783
101	0.4648973922
102	0.4646531378
103	0.4644816588
104	0.4643822054
105	0.4638030428
106	0.4636253352
107	0.4632453277
108	0.4629034529
109	0.4627196498
110	0.4623678523
111	0.4620864828
112	0.4618264168
113	0.4616330608
114	0.4613179942
115	0.4608479187
116	0.460601608
117	0.4602503491
118	0.459855508
119	0.4596682125
120	0.4594305193
121	0.4592642486
122	0.4589532844
123	0.4588376381
124	0.4586335519
125	0.4584565526
126	0.4581585304
127	0.4579117217
128	0.4578044593
129	0.4574697312
130	0.4571622236
131	0.4569554193
132	0.4567901451
133	0.4566248303
134	0.4564360837
135	0.4562164592
136	0.4559412902
137	0.4555307132
138	0.4551112423
139	0.4548680564
140	0.4546994456
141	0.4543288957
142	0.4540866826
143	0.4536460725
144	0.4535028954
145	0.4534203495
146	0.4533057155
147	0.453146373
148	0.4529436221
149	0.4528345882
150	0.4527355748
151	0.4526339513
152	0.4523499037
153	0.4521333666
154	0.4520294458
155	0.4518334001
156	0.451753882
157	0.4516730472
158	0.451326293
159	0.4512278113
160	0.4510837353
161	0.4509005843
162	0.450711524
163	0.4505807335
164	0.4502448156
165	0.4500617103
166	0.4499909281
167	0.4498061944
168	0.4496326716
169	0.4495612456
170	0.4494690085
171	0.4493054344
172	0.4491811037
173	0.4489845001
174	0.4488639028
175	0.4486681388
176	0.4483946211
177	0.4482080813
178	0.4480385371
179	0.4478738829
180	0.447623138
181	0.4474880318
182	0.4472910262
183	0.4471715954
184	0.4470085654
185	0.446934379
186	0.4468895072
187	0.4466775334
188	0.4463363384
189	0.4462476269
190	0.4461472431
191	0.4459959546
192	0.4459943096
193	0.4457653104
194	0.4457185022
195	0.4455549779
196	0.445424026
197	0.4453300485
198	0.4451779154
199	0.4451420563
200	0.4450240417
201	0.4449427775
202	0.4445561362
203	0.4445324454
204	0.4442874946
205	0.4441271419
206	0.4438526452
207	0.4437267871
208	0.4436301965
209	0.4435043485
210	0.4433024604
211	0.4431300771
212	0.4430404672
213	0.4429674007
214	0.4429017196
215	0.4425225134
216	0.4424217237
217	0.4422427393
218	0.4421000733
219	0.4419379965
220	0.4418291181
221	0.4416214743
222	0.4414086369
223	0.4413280547
224	0.441147489
225	0.4409775449
226	0.4408117001
227	0.4407456633
228	0.4407170989
229	0.4406197557
230	0.4404873438
231	0.4403238882
232	0.4402366666
233	0.4400149909
234	0.4397151346
235	0.4393290709
236	0.4391998972
237	0.4391014476
238	0.4389795798
239	0.4388521049
240	0.4387623408
241	0.4386287872
242	0.4385619657
243	0.4385366791
244	0.4383769659
245	0.4381578226
246	0.4378153621
247	0.4376606276
248	0.4376358244
249	0.4375806233
250	0.4375423061
251	0.4372980388
252	0.4370834474
253	0.4369784969
254	0.4369133362
255	0.4368160357
256	0.4367089436
257	0.4364455642
258	0.4362111183
259	0.4360360398
260	0.4359240471
261	0.4357895482
262	0.4357036917
263	0.4355229454
264	0.4355225702
265	0.4354805304
266	0.4354077961
267	0.434981821
268	0.4348750229
269	0.4344305793
270	0.4343620991
271	0.4343351271
272	0.4341822259
273	0.4338707317
274	0.433766096
275	0.4336609344
276	0.4333501857
277	0.4331486929
278	0.432941559
279	0.4329196337
280	0.43272532
281	0.4324497742
282	0.4323251916
283	0.4322413721
284	0.4321617495
285	0.4319572868
286	0.4317539109
287	0.431688792
288	0.4315036428
289	0.4314668642
290	0.4314485887
291	0.431320893
292	0.431072666
293	0.4310092591
294	0.430712183
295	0.4305432617
296	0.4301197098
297	0.4300946804
298	0.4298060836
299	0.4295962962
300	0.4293091002
301	0.4292499987
302	0.4291332084
303	0.429045675
304	0.4285744772
305	0.4285441624
306	0.4283252758
307	0.4282618604
308	0.4278840616
309	0.4276970627
310	0.4276391429
311	0.4276387769
312	0.4275252289
313	0.4274196318
