iter	Passed	Remaining
0	2	2584
1	5	2573
2	7	2435
3	9	2448
4	12	2401
5	14	2363
6	17	2412
7	19	2375
8	21	2336
9	23	2323
10	25	2297
11	28	2316
12	30	2308
13	33	2349
14	35	2343
15	38	2388
16	41	2409
17	44	2425
18	47	2451
19	50	2459
20	52	2452
21	54	2436
22	56	2420
23	59	2415
24	61	2416
25	64	2413
26	66	2412
27	69	2412
28	71	2410
29	74	2409
30	76	2403
31	79	2391
32	81	2394
33	84	2387
34	86	2387
35	89	2388
36	91	2387
37	94	2383
38	96	2383
39	99	2387
40	102	2387
41	104	2392
42	107	2383
43	109	2374
44	111	2365
45	114	2365
46	116	2359
47	118	2351
48	120	2344
49	123	2342
50	125	2342
51	128	2337
52	130	2335
53	133	2330
54	136	2338
55	139	2343
56	142	2350
57	145	2360
58	148	2361
59	150	2365
60	153	2362
61	155	2358
62	158	2358
63	160	2351
64	163	2348
65	165	2341
66	168	2344
67	170	2338
68	172	2331
69	174	2323
70	177	2319
71	180	2324
72	183	2325
73	185	2322
74	187	2316
75	190	2313
76	192	2307
77	195	2306
78	199	2320
79	202	2325
80	203	2314
81	206	2310
82	208	2306
83	211	2305
84	213	2297
85	215	2292
86	218	2287
87	220	2282
88	223	2283
89	225	2279
90	227	2275
91	230	2271
92	232	2271
93	235	2271
94	238	2270
95	240	2265
96	243	2268
97	246	2265
98	248	2259
99	250	2254
100	252	2250
101	255	2251
102	258	2248
103	260	2246
104	262	2240
105	265	2240
106	267	2236
107	270	2232
108	272	2229
109	276	2238
110	279	2236
111	281	2233
112	284	2229
113	286	2227
114	289	2224
115	291	2224
116	295	2229
117	299	2235
118	302	2236
119	304	2233
120	307	2230
121	309	2230
122	312	2227
123	314	2223
124	316	2218
125	319	2215
126	321	2210
127	324	2209
128	326	2204
129	329	2203
130	331	2200
131	334	2197
132	336	2196
133	339	2193
134	342	2192
135	344	2189
136	346	2184
137	349	2180
138	352	2181
139	354	2180
140	357	2179
141	360	2181
142	363	2178
143	366	2175
144	368	2172
145	370	2167
146	373	2166
147	375	2163
148	377	2158
149	380	2154
150	382	2150
151	385	2148
152	387	2144
