iter	Passed	Remaining
0	135	6652
1	136	3274
2	136	2143
3	137	1576
4	137	1237
5	137	1010
6	138	848
7	138	727
8	138	632
9	139	556
10	139	494
11	139	443
12	140	399
13	140	361
14	141	329
15	141	300
16	141	275
17	142	253
18	145	237
19	146	219
20	146	202
21	146	186
22	147	172
23	147	160
24	148	148
25	148	137
26	149	126
27	149	117
28	149	108
29	149	99
30	150	92
31	150	84
32	151	77
33	151	71
34	151	65
35	152	59
36	152	53
37	152	48
38	153	43
39	153	38
40	154	33
41	154	29
42	154	25
43	155	21
44	155	17
45	155	13
46	156	9
47	156	6
48	157	3
49	158	0
